"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"prot-a-2344","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Peptidyl-prolyl cis-trans isomerase-like 2 || id:prot-a-2344","Inverse variance weighted",2,0.0627225183363718,0.0611822231252092,0.305280369643332
"prot-a-206","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Axin-2 || id:prot-a-206","Wald ratio",1,0.0872011778563015,0.0841356890459364,0.29999922139211
"prot-a-2262","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Membrane-associated progesterone receptor component 2 || id:prot-a-2262","Wald ratio",1,0.0915580014840465,0.0883393519663616,0.29999922139211
"prot-a-2131","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nuclear RNA export factor 1 || id:prot-a-2131","Wald ratio",1,0.0602977739726027,0.0357236301369863,0.0914311862533159
"prot-a-2194","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protocadherin-10 || id:prot-a-2194","Inverse variance weighted",4,0.020929759169551,0.0162416060336267,0.197519502142432
"prot-a-2167","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Multifunctional protein ADE2 || id:prot-a-2167","Wald ratio",1,0.133038543897216,0.126519628836545,0.293017565527619
"prot-a-2309","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Plexin-C1 || id:prot-a-2309","Inverse variance weighted",4,0.0626992836760185,0.0552245000060448,0.2562275810032
"prot-a-2076","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Atrial natriuretic factor || id:prot-a-2076","Wald ratio",1,0.130819429198683,0.119806256860593,0.274866133531917
"prot-a-2050","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nidogen-2 || id:prot-a-2050","Wald ratio",1,0.0223815322171487,0.0414051243023846,0.588817917589073
"prot-a-2081","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neuronal pentraxin-2 || id:prot-a-2081","Wald ratio",1,-0.0203673565380997,0.0876406396989652,0.81623025662576
"prot-a-2275","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 || id:prot-a-2275","Wald ratio",1,0.0488078014184397,0.0295802836879433,0.0989406312894489
"prot-a-2141","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Inositol polyphosphate 5-phosphatase OCRL-1 || id:prot-a-2141","Wald ratio",1,0.0153038759689922,0.0419824289405685,0.715461899750975
"prot-a-2239","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pyridoxal kinase || id:prot-a-2239","Wald ratio",1,0.0733317367763432,0.0434456476468138,0.0914311862533158
"prot-a-2243","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Platelet endothelial aggregation receptor 1 || id:prot-a-2243","Inverse variance weighted",3,0.0152679430471797,0.043197295755988,0.723753556022336
