"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-2425","R12_amyloidosis","R12_E4_AMYLNAS","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN || id:prot-a-2425","Wald ratio",1,-0.511327800829876,0.351968649147072,0.146288960490639,"prot-a-2425","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
"prot-a-2000","R12_amyloidosis","R12_E4_AMYLNAS","Beta-soluble NSF attachment protein || id:prot-a-2000","Inverse variance weighted",2,0.631085898348975,0.316532340896722,0.0461795398393479,"prot-a-2000","Beta-soluble NSF attachment protein"
"prot-a-2259","R12_amyloidosis","R12_E4_AMYLNAS","Membrane-associated progesterone receptor component 1 || id:prot-a-2259","Wald ratio",1,-0.0297773644388399,0.429147540983607,0.944681383557613,"prot-a-2259","Membrane-associated progesterone receptor component 1"
"prot-a-2159","R12_amyloidosis","R12_E4_AMYLNAS","Oxytocin-neurophysin 1 || id:prot-a-2159","Wald ratio",1,-0.0438337944664032,0.39967720685112,0.912668721717789,"prot-a-2159","Oxytocin-neurophysin 1"
"prot-a-2048","R12_amyloidosis","R12_E4_AMYLNAS","NHP2-like protein 1 || id:prot-a-2048","Wald ratio",1,-0.114138048572646,0.106806277517398,0.285229434828902,"prot-a-2048","NHP2-like protein 1"
"prot-a-2151","R12_amyloidosis","R12_E4_AMYLNAS","Origin recognition complex subunit 6 || id:prot-a-2151","Inverse variance weighted",2,-0.418978945402826,0.312982184853149,0.180679079972847,"prot-a-2151","Origin recognition complex subunit 6"
"prot-a-21","R12_amyloidosis","R12_E4_AMYLNAS","2-phosphoxylose phosphatase 1 || id:prot-a-21","Wald ratio",1,-0.0185709461345241,0.169330170248395,0.912668721717789,"prot-a-21","2-phosphoxylose phosphatase 1"
"prot-a-225","R12_amyloidosis","R12_E4_AMYLNAS","BAG family molecular chaperone regulator 3 || id:prot-a-225","Wald ratio",1,-0.294639697950378,0.389752427184466,0.449669404738075,"prot-a-225","BAG family molecular chaperone regulator 3"
"prot-a-2245","R12_amyloidosis","R12_E4_AMYLNAS","Platelet endothelial cell adhesion molecule || id:prot-a-2245","MR Egger",3,0.00961856929288487,0.490253213248596,0.987511380398974,"prot-a-2245","Platelet endothelial cell adhesion molecule"
"prot-a-2245","R12_amyloidosis","R12_E4_AMYLNAS","Platelet endothelial cell adhesion molecule || id:prot-a-2245","Weighted median",3,0.11319225274881,0.207799784160925,0.58594758263389,"prot-a-2245","Platelet endothelial cell adhesion molecule"
